Index,Datetime,Hourly_Temp
0,04-01-2022 00:00,20.867
1,04-01-2022 01:00,21
2,04-01-2022 02:00,20.867
3,04-01-2022 03:00,20.65
4,04-01-2022 04:00,20.4
5,04-01-2022 05:00,20.1
6,04-01-2022 06:00,19.8
7,04-01-2022 07:00,19.5
8,04-01-2022 08:00,19.4
9,04-01-2022 09:00,19.5
10,04-01-2022 10:00,19.933
11,04-01-2022 11:00,20.75
12,04-01-2022 12:00,21.833
13,04-01-2022 13:00,22.75
14,04-01-2022 14:00,23.7
15,04-01-2022 15:00,24.6
16,04-01-2022 16:00,25.1
17,04-01-2022 17:00,12.1
18,04-01-2022 18:00,19.667
19,04-01-2022 19:00,23.133
20,04-01-2022 20:00,23.1
21,04-01-2022 21:00,22.7
22,04-01-2022 22:00,22.3
23,04-01-2022 23:00,21.8
24,05-01-2022 00:00,21.333
25,05-01-2022 01:00,20.933
26,05-01-2022 02:00,20.567
27,05-01-2022 03:00,20.25
28,05-01-2022 04:00,20.1
29,05-01-2022 05:00,15.667
30,05-01-2022 06:00,19.167
31,05-01-2022 07:00,14.1
32,05-01-2022 08:00,14.05
33,05-01-2022 09:00,13.467
34,05-01-2022 10:00,11.4
35,05-01-2022 11:00,9.9
36,05-01-2022 12:00,9.833
37,05-01-2022 13:00,10
38,05-01-2022 14:00,13.033
39,05-01-2022 15:00,9.333
40,05-01-2022 16:00,12.7
41,05-01-2022 17:00,12.733
42,05-01-2022 18:00,15.733
43,05-01-2022 19:00,16.033
44,05-01-2022 20:00,16.033
45,05-01-2022 21:00,16.1
46,05-01-2022 22:00,12.95
47,05-01-2022 23:00,23.6
48,06-01-2022 00:00,26.5
49,06-01-2022 01:00,25.5
50,06-01-2022 02:00,24.5
51,06-01-2022 03:00,23.633
52,06-01-2022 04:00,23.1
53,06-01-2022 05:00,22.6
54,06-01-2022 06:00,14.9
55,06-01-2022 07:00,14.133
56,06-01-2022 08:00,22.7
57,06-01-2022 09:00,23.533
58,06-01-2022 10:00,23.75
59,06-01-2022 11:00,24.2
60,06-01-2022 12:00,24.867
61,06-01-2022 13:00,25.5
62,06-01-2022 14:00,26
63,06-01-2022 15:00,26.267
64,06-01-2022 16:00,9.633
65,06-01-2022 17:00,9.267
66,06-01-2022 18:00,8.85
67,06-01-2022 19:00,15.6
68,06-01-2022 20:00,12.267
69,06-01-2022 21:00,9.067
70,06-01-2022 22:00,12.467
71,06-01-2022 23:00,21.35
72,07-01-2022 00:00,23.967
73,07-01-2022 01:00,24.4
74,07-01-2022 02:00,23.9
75,07-01-2022 03:00,23.3
76,07-01-2022 04:00,22.8
77,07-01-2022 05:00,20.8
78,07-01-2022 06:00,14.967
79,07-01-2022 07:00,11.7
80,07-01-2022 08:00,15.6
81,07-01-2022 09:00,8.4
82,07-01-2022 10:00,9.067
83,07-01-2022 11:00,9.967
84,07-01-2022 12:00,9.8
85,07-01-2022 13:00,9.833
86,07-01-2022 14:00,12.433
87,07-01-2022 15:00,9.767
88,07-01-2022 16:00,9.567
89,07-01-2022 17:00,9.1
90,07-01-2022 18:00,11.7
91,07-01-2022 19:00,25.333
92,07-01-2022 20:00,8.167
93,07-01-2022 21:00,16.167
94,07-01-2022 22:00,16.133
95,07-01-2022 23:00,26.2
96,08-01-2022 00:00,26.75
97,08-01-2022 01:00,25.867
98,08-01-2022 02:00,24.767
99,08-01-2022 03:00,23.95
100,08-01-2022 04:00,23.333
101,08-01-2022 05:00,22.7
102,08-01-2022 06:00,11.8
103,08-01-2022 07:00,15.4
104,08-01-2022 08:00,7.45
105,08-01-2022 09:00,12.167
106,08-01-2022 10:00,9.2
107,08-01-2022 11:00,9.8
108,08-01-2022 12:00,10.067
109,08-01-2022 13:00,10.1
110,08-01-2022 14:00,10.35
111,08-01-2022 15:00,14.567
112,08-01-2022 16:00,9.1
113,08-01-2022 17:00,8.133
114,08-01-2022 18:00,20.55
115,08-01-2022 19:00,19.167
116,08-01-2022 20:00,18.1
117,08-01-2022 21:00,11
118,08-01-2022 22:00,13.233
119,08-01-2022 23:00,21.167
120,09-01-2022 00:00,23.5
121,09-01-2022 01:00,23.7
122,09-01-2022 02:00,23.267
123,09-01-2022 03:00,22.8
124,09-01-2022 04:00,22.333
125,09-01-2022 05:00,22
126,09-01-2022 06:00,16.533
127,09-01-2022 07:00,14.333
128,09-01-2022 08:00,12.2
129,09-01-2022 09:00,8.767
130,09-01-2022 10:00,9.4
131,09-01-2022 11:00,9.633
132,09-01-2022 12:00,9.9
133,09-01-2022 13:00,9.5
134,09-01-2022 14:00,12.8
135,09-01-2022 15:00,9.833
136,09-01-2022 16:00,9.1
137,09-01-2022 17:00,13.067
138,09-01-2022 18:00,16.5
139,09-01-2022 19:00,25.033
140,09-01-2022 20:00,23.5
141,09-01-2022 21:00,8.325
142,09-01-2022 22:00,14.2
143,09-01-2022 23:00,25.7
144,10-01-2022 00:00,26.767
145,10-01-2022 01:00,25.367
146,10-01-2022 02:00,24.1
147,10-01-2022 03:00,23.2
148,10-01-2022 04:00,22.533
149,10-01-2022 05:00,21.933
150,10-01-2022 06:00,21.85
151,10-01-2022 07:00,22.9
152,10-01-2022 08:00,18.2
153,10-01-2022 09:00,12.75
154,10-01-2022 10:00,12.575
155,10-01-2022 11:00,17.8
156,10-01-2022 12:00,9.867
157,10-01-2022 13:00,10.333
158,10-01-2022 14:00,19.5
159,10-01-2022 15:00,13
160,10-01-2022 16:00,14.267
161,10-01-2022 17:00,17.633
162,10-01-2022 18:00,21.367
163,10-01-2022 19:00,22.85
164,10-01-2022 20:00,18.467
165,10-01-2022 21:00,14.067
166,10-01-2022 22:00,18.867
167,10-01-2022 23:00,23.867
168,11-01-2022 00:00,25.05
169,11-01-2022 01:00,24.5
170,11-01-2022 02:00,23.567
171,11-01-2022 03:00,22.8
172,11-01-2022 04:00,22.3
173,11-01-2022 05:00,21.867
174,11-01-2022 06:00,21.5
175,11-01-2022 07:00,21.3
176,11-01-2022 08:00,21.5
177,11-01-2022 09:00,21.967
178,11-01-2022 10:00,22.767
179,11-01-2022 11:00,23.35
