ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Rockerz 235 V2 ,"
Sale price₹ 1,183",60% off,1067 reviews,"★
  4.8
    ",Good,Sonda good
 Rockerz 235 V2 ,"
Sale price₹ 1,183",60% off,1067 reviews,"★
  4.8
    ",Best,The best product ever received.
 Rockerz 235 V2 ,"
Sale price₹ 1,183",60% off,1067 reviews,"★
  4.8
    ",,"boAt Rockerz 235 V2 | Bluetooth Stereo Wireless Earphone with Up to 8 Hours of Uninterrupted Music, Fast Charging, IPX5 sweat and water resistance"
 Rockerz 235 V2 ,"
Sale price₹ 1,183",60% off,1067 reviews,"★
  4.8
    ",,Supar
 Rockerz 235 V2 ,"
Sale price₹ 1,183",60% off,1067 reviews,"★
  4.8
    ",,The product is perfect.
 Rockerz 235 V2 ,"
Sale price₹ 1,183",60% off,1067 reviews,"★
  4.8
    ",Nice product,Good quality sound and good price
 Rockerz 255 Pro+ ,"
Sale price₹ 1,299",67% off,401 reviews,"★
  4.8
    ",Very nice prodect,Comfortable to use
 Rockerz 255 Pro+ ,"
Sale price₹ 1,299",67% off,401 reviews,"★
  4.8
    ",,"boAt Rockerz 255 Pro+ | Bluetooth Earphone with 10mm drivers, Up to 40H Nonstop Playback, Type-C charging, ASAP Charge"
 Rockerz 255 Pro+ ,"
Sale price₹ 1,299",67% off,401 reviews,"★
  4.8
    ",Sound quality,It's amazing
 Rockerz 255 Pro+ ,"
Sale price₹ 1,299",67% off,401 reviews,"★
  4.8
    ",Product review,"Boat rocker 255 pro + superb sound and also base quality is great control , build quality is moderate"
 Rockerz 255 Pro+ ,"
Sale price₹ 1,299",67% off,401 reviews,"★
  4.8
    ",,"boAt Rockerz 255 Pro+ | Bluetooth Earphone with 10mm drivers, Up to 40H Nonstop Playback, Type-C charging, ASAP Charge"
 Rockerz 255 Pro+ ,"
Sale price₹ 1,299",67% off,401 reviews,"★
  4.8
    ",,Good
 Rockerz 245 V2 ,"
Sale price₹ 1,299",57% off,206 reviews,"★
  4.8
    ",,"boAt Rockerz 245 V2 | Wireless Bluetooth Earphone with 12mm Dynamic Audio Drivers, Up to 8 Hours of Uninterrupted Music, Fast Charging"
